Station GareGem.;instappendetijdensweek;Gem.instappendeopzaterdag;Gem.instappendeopzondag  
ST-GHISLAIN;1.914;545;477  
ST-GILLIS;261;74;40  
ST-JOB;772;132;118  
ST-JORIS-WEERT;405;221;170  
ST-KATELIJNE-WAVER;774;355;242  
ST-MARIABURG;251;134;73  
ST-MARTENS-BODEGEM;459;205;141  
ST-NIKLAAS;8.192;3.010;2.969  
ST-TRUIDEN;1.371;285;193  
STATTE;529;205;225  
STOCKEM;74;19;26  
SY;110;32;28  
TAMINES;1.700;591;548  
TEMSE;682;237;331  
TERHAGEN;300;121;97  
TERNAT;1.056;362;280  
TESTELT;249;143;95  
THEUX;117;55;44  
THIEU;101;27;25  
THUIN;252;25;34  
THULIN;93;50;42  
TIELEN;655;255;263  
TIELT;941;419;537  
TIENEN;3.874;695;630  
TILFF;284;87;83  
TILLY;249;17;61  
TOLLEMBEEK;334;79;58  
TONGEREN;718;351;340  
TORHOUT;1.686;468;408  
TOUR ET TAXIS/THURN EN TAXIS;124;84;67
TOURNAI;6.887;2.507;2.893  
TROIS-PONTS;283;221;541  
TROOZ;167;60;50  
TUBIZE;3.090;1.734;1.279  
TURNHOUT;1.681;705;964  
UCCLE/UKKEL-CALEVOET;1.132;571;250  
UCCLE/UKKEL-STALLE;333;277;161  
VELTEM;378;187;117  
VERTRIJK;624;125;136  
VERVIERS-CENTRAL;4.803;2.134;1.865  
VERVIERS-PALAIS;96;31;25  
VEURNE;461;223;398  
VIANE-MOERBEKE;555;119;84  
VICHTE;330;-;-  
VIELSALM;361;120;238  
VIJFHUIZEN;19;-;-  
VILLE-POMMEROEUL;23;-;-  
VILLERS-LA-VILLE;299;13;83  
VILVOORDE;6.323;3.890;3.282  
VIRTON;341;94;117  
VISE;838;316;218  
VIVIER D'OIE/DIESDELLE;646;122;93  
VIVILLE;73;21;34  
VOROUX;102;21;15  
WAARSCHOOT;228;99;62  
WALCOURT;231;57;89  
WAREGEM;2.210;799;1.000  
WAREMME;1.909;415;344  
WATERLOO;2.276;1.107;756  
WATERMAEL/WATERMAAL;336;212;136  
WAVRE;1.025;635;439  
WEERDE;578;204;156  
WELKENRAEDT;1.875;1.381;1.344  
WELLE;359;157;105  
WERVIK;790;317;242  
WESPELAAR-TILDONK;449;117;130  
WETTEREN;2.483;1.146;1.021  
WEVELGEM;526;141;140  
WEZEMAAL;749;348;239  
WICHELEN;234;124;92  
WIJGMAAL;618;145;126  
WILDERT;298;106;100  
WILLEBROEK;618;205;251  
WOLFSTEE;49;-;-  
WONDELGEM;208;65;48  
YVES-GOMEZEE;38;10;18  
YVOIR;690;365;351  
ZANDBERGEN;256;80;78  
ZAVENTEM;1.893;788;530  
ZEDELGEM;715;216;176  
ZEEBRUGGE-DORP;294;-;-  
ZEEBRUGGE-STRAND;-;140;140  
ZELE;769;327;259  
ZELLIK;728;103;96  
ZICHEM;250;165;106  
ZINGEM;402;135;103  
ZOLDER;110;17;37  
ZONHOVEN;60;14;37  
ZOTTEGEM;4.360;1.186;999  
ZWIJNDRECHT;399;117;139  
