GARE;Semaine;N67;Samedi;R6;Dimanche;R7
LOBBES;136;417;45;369;53;338
LODELINSART;99;457;18;467;32;388
LOKEREN;5.302;36;2.396;26;1.902;27
LOMMEL;540;190;298;126;418;102
LONDERZEEL;900;128;171;183;255;143
LONZEE;137;415;22;450;19;441
LOT;495;208;105;256;83;268
LOUVAIN-LA-NEUVE;6.170;28;2.544;23;1.274;45
LUSTIN;386;245;134;217;90;259
LUTTRE;1.830;72;494;89;434;96
MAFFLE;134;419;41;379;39;371
MALDEREN;297;282;65;317;100;241
MANAGE;264;299;85;283;57;325
MARBEHAN;678;161;314;122;821;63
MARCHE-EN-FAMENNE;340;259;91;273;123;220
MARCHE-LES-DAMES;45;514;7;494;8;488
MARCHE-LEZ-ECAUSSINNES;137;416
MARCHIENNE-AU-PONT;1.384;95;898;62;874;60
MARCHIENNE-ZONE;31;529;8;491;7;491
MARIA-AALTER;189;362;102;259;52;343
MARIEMBOURG;162;397;48;358;94;249
MARLOIE;1.621;82;904;60;1.355;43
MASNUY-SAINT-PIERRE;29;533
MAUBRAY;16;548
MAZY;27;535
MECHELEN;19.457;9;8.021;11;6.845;12
MECHELEN-NEKKERSPOEL;1.991;67;1.150;49;820;64
MEISER;772;145;63;319;43;362
MELKOUWEN;235;312;105;257;57;326
MELLE;900;129;186;176;159;192
MELREUX-HOTTON;292;285;128;224;125;219
MELSELE;177;375;30;412;36;382
MENEN;775;144;424;102;435;95
MERCHTEM;727;153;244;144;136;207
MERELBEKE;912;127;179;178;130;215
MERODE;504;204
MERY;82;468;9;490;18;447
MESSANCY;56;505
MEVERGNIES-ATTRE;89;461
MILMORT;336;261;17;471;17;457
MOENSBERG;493;210;63;320;55;331
MOL;2.354;60;943;54;1.090;53
MOLLEM;280;288;70;307;51;344
MOMALLE;82;469;26;432;18;448
MONS;9.273;16;4.145;18;2.434;23
MONT-SAINT-GUIBERT;425;235;71;304;59;320
MOORTSELE;132;421;30;413;27;410
MORLANWELZ;309;273;62;322;46;358
MORTSEL;564;188;144;208;65;305
MORTSEL-DEURNESTEENWEG;0;553;37;377
MORTSEL-LIERSESTEENWEG;196;354;51;350;1;495
MORTSEL-OUDE-GOD;801;139;454;94;372;115
MOUSCRON/MOESKROEN;1.668;79;723;74;750;73
MOUSTIER;239;309;56;334;44;361
MUIZEN;209;335;54;339;79;281
MUNKZWALM;279;290;97;266;94;250
NAMECHE;116;442;17;472;19;442
NAMUR;21.793;7;9.540;9;7.689;11
NANINNE;175;382;29;419;20;437
NATOYE;132;422;42;374;30;398
NEERPELT;430;231;210;162;427;99
NEERWINDEN;176;381;53;341;83;269
NESSONVAUX;213;333;95;269;60;317
NEUFCHATEAU;114;444;24;441;75;286
NEUFVILLES;52;507
NIEL;208;337;118;234;97;246
NIEUWKERKEN-WAAS;136;418;40;382;47;355
NIJLEN;604;172;284;128;230;151
NIMY;66;491;16;478;8;489
NINOVE;1.432;91;344;118;206;161
NIVELLES;4.589;40;1.393;44;1.032;55
NOORDERKEMPEN;1.394;94;443;96;629;80
NOSSEGEM;523;198;83;287;74;288
OBAIX-BUZET;204;344
OBOURG;19;546
OKEGEM;198;352;58;329;35;383
OLEN;624;169;265;136;211;158
OOSTENDE;6.742;24;6.831;13;6.710;13
OOSTKAMP;170;386;67;312;53;339
OPWIJK;1.094;112;269;134;188;169
OTTIGNIES;20.152;8;8.647;10;8.326;10
OUD-HEVERLEE;169;387;44;371;28;407
OUDEGEM;177;376
OUDENAARDE;3.377;48;927;57;802;66
OUGREE;60;502;19;464;13;474
OVERPELT;275;292;116;239;174;175
PALISEUL;68;488;26;433;53;340
PAPIGNIES;73;482;21;457;20;438
PECROT;218;328;52;345;43;363
PEPINSTER;1.334;97;390;108;374;114
PEPINSTER-CITE;30;531;29;420;21;435
PERUWELZ;573;184;196;172;184;171
PHILIPPEVILLE;427;234;61;324;62;314
PIETON;130;423;28;424;9;486
POIX-SAINT-HUBERT;24;540;13;484;18;449
PONT-A-CELLES;86;465;21;458;17;458
PONT-DE-SERAING;227;322;12;486;11;482
POPERINGE;542;189;299;125;625;81
POULSEUR;163;395;66;313;53;341
PROFONDSART;204;345;59;327;54;333
PRY;24;541
PUURS;1.508;88;613;84;573;87
QUAREGNON;494;209;170;185;147;201
QUEVY;168;388
QUIEVRAIN;362;254;233;151;108;231
REBAIX;79;475;32;406;26;414
REMICOURT;177;377;31;409;39;372
RHISNES;185;367;34;394;31;392
RIVAGE;200;349;48;359;80;276
RIXENSART;1.291;100;240;145;282;134
ROCHEFORT-JEMELLE;651;163;366;113;490;89
ROESELARE;2.720;54;805;66;1.026;56
RONET;50;509;8;492;6;493
RONSE/RENAIX;1.088;113;435;99;409;107
ROUX;128;426;34;395;16;463
RUISBR.-SAUVEGARDE;187;365;56;335;62;315
RUISBROEK;602;174;162;194;121;225
SART-BERNARD;125;430;27;429;12;478
SCHAARBEEK/SCHAERBEEK;3.524;46;662;80;429;98
SCHELDEWINDEKE;331;262;80;292;81;272
SCHELLE;190;360;109;247;70;297
SCHELLEBELLE;407;240;83;288;86;265
SCHENDELBEKE;207;340;65;318;47;356
SCHOONAARDE;228;320;91;274;118;226
SCHULEN;256;303;57;332;89;260
SCLAIGNEAUX;71;483;13;485;15;466
SCLESSIN;37;521
SERAING;234;314;55;337;32;389
SERSKAMP;197;353;50;354;45;359
SILLY;1.180;106;252;141;205;163
SIMONIS;127;428;32;407;29;403
SINAAI;308;275;62;323;60;318
SLEIDINGE;224;323;80;293;72;292
SOIGNIES;2.446;59;412;105;331;122
SOLRE-SUR-SAMBRE;63;498;25;438;40;369
SPA;311;270;169;187;169;181
SPA-GERONSTERE;321;266;197;170;184;172
ST-DENIJS-BOEKEL;194;355
ST-DENIS-BOVESSE;147;408;28;425;22;430
ST-GEN-RODE/RHODE-ST-GEN;1.676;78;438;97;300;128
ST-GHISLAIN;2.317;61;736;73;633;79
ST-GILLIS;125;431;22;451;15;467
ST-JOB;991;121;156;197;127;217
ST-JORIS-WEERT;294;284;74;297;100;242
ST-KATELIJNE-WAVER;860;136;210;163;148;200
ST-MARIABURG;167;389;111;243;67;300
ST-MARTENS-BODEGEM;376;249;84;286;64;308
ST-NIKLAAS;8.008;21;3.207;20;2.652;19
ST-TRUIDEN;1.526;87;901;61;811;65
STATTE;465;219;653;81;600;82
STOCKEM;18;547;5;495;0;496
SY;74;481;11;488;20;439
TAMINES;1.465;89;454;95;377;113
TEMSE;712;156;221;157;237;148
TERHAGEN;183;371
TERNAT;876;134;228;153;182;173
