Station Gare;Gem. instappende tijdens week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche;
KAPELLE-OP-DEN-BOS 584;202;184
KAPELLEN 1.202;581;551
KESSEL 449;256;249
KIEWIT 620;137;225
KIJKUIT 163;58;49
KNOKKE 768;1.751;1.035
KOKSIJDE 263;234;379
KONTICH-LINT 931;598;424
KORTEMARK 435;249;389
KORTENBERG 819;288;163
KORTRIJK 8.127;5.631;5.605
KWATRECHT 180;53;49
LA HULPE 1.351;429;432
LA LOUVIERE-CENTRE 1.338;1.169;998
LA LOUVIERE-SUD 3.029;2.438;2.107
LA ROCHE 211;76;61
LABUISSIERE 79;16;13
LANDEGEM 638;144;124
LANDELIES 78;8;12
LANDEN 3.007;1.084;1.093
LANDSKOUTER 73;25;25
LANGDORP 174;39;51
LE CAMPINAIRE 146;-;-
LEBBEKE 587;126;140
LEDE 1.540;575;513
LEIGNON 37;15;13
LEMAN 66;-;-
LEMBEEK 1.100;423;216
LENS 268;141;107
LEOPOLDSBURG 374;243;125
LESSINES 681;345;265
LEUVEN 31.461;16.625;14.050
LEUZE 1.568;768;663
LEVAL 134;74;70
LIBRAMONT 2.430;1.230;2.033
LICHTERVELDE 3.127;1.773;2.047
LIEDEKERKE 2.053;1.153;1.035
LIEGE-CARRE 1.911;516;359
LIEGE-GUILLEMINS 21.313;10.647;11.624
LIEGE-SAINT-LAMBERT 2.999;1.150;859
LIER 5.191;2.658;2.579
LIERDE 505;129;89
LIERS 493;224;212
LIGNY 209;76;81
LILLOIS 684;177;91
LIMAL 378;179;141
LINKEBEEK 1.187;369;171
LISSEWEGE 166;65;69
LOBBES 152;44;23
LODELINSART 177;36;52
LOKEREN 3.897;2.200;2.167
LOMMEL 422;181;277
LONDERZEEL 1.099;215;254
LONZEE 212;59;21
LOT 751;375;181
LOUVAIN-LA-NEUVE 4.899;2.169;1.048
LUSTIN 419;194;210
LUTTRE 1.992;658;547
MAFFLE 161;100;72
MALDEREN 359;115;121
MANAGE 258;78;88
MARBEHAN 735;342;837
MARCHE-EN-FAMENNE 441;92;145
MARCHE-LES-DAMES 91;2;5
MARCHE-LEZ-ECAUSSINNES 170;-;-
MARCHIENNE-AU-PONT 1.621;762;717
MARCHIENNE-ZONE 41;6;13
MARIA-AALTER 201;49;46
MARIEMBOURG 159;63;94
MARLOIE 1.564;876;1.824
MASNUY-SAINT-PIERRE 24;-;-
MAUBRAY 22;-;-
MAZY 26;-;-
MECHELEN 19.450;9.566;8.768
MECHELEN-NEKKERSPOEL 2.105;1.489;1.288
MEISER 684;101;77
MELKOUWEN 207;90;74
MELLE 890;818;588
MELREUX-HOTTON 362;101;170
MELSELE 299;62;114
MENEN 1.030;496;538
MERCHTEM 1.191;171;167
MERELBEKE 824;185;152
MERODE 307;-;-
MERY 115;13;25
MESSANCY 135;32;28
MEVERGNIES-ATTRE 115;76;85
MILMORT 547;242;168
MOENSBERG 247;227;117
MOL 2.330;1.226;1.357
MOLLEM 347;69;46
MOMALLE 113;44;43
MONS 9.399;5.160;4.559
MONT-SAINT-GUIBERT 441;145;95
MOORTSELE 139;27;22
MORLANWELZ 355;95;72
MORTSEL 545;315;104
MORTSEL-DEURNESTEENWEG -;-;114
MORTSEL-LIERSESTEENWEG 205;145;1
MORTSEL-OUDE-GOD 764;617;646
MOUSCRON/MOESKROEN 1.975;1.360;1.343
MOUSTIER 278;91;71
MUIZEN 253;106;131
MUNKZWALM 283;79;74
NAMECHE 146;5;10
NAMUR 21.590;8.822;8.835
NANINNE 237;85;88
NATOYE 258;98;88
NEERPELT 386;159;231
NEERWINDEN 157;66;50
NESSONVAUX 368;152;125
NEUFCHATEAU 169;40;53
NEUFVILLES 59;-;-
NIEL 394;157;140
NIEUWKERKEN-WAAS 172;86;148
NIJLEN 607;407;312
NIMY 112;47;36
NINOVE 1.394;310;277
NIVELLES 4.485;1.258;1.011
NOORDERKEMPEN 1.026;665;795
NOSSEGEM 571;335;196
OBAIX-BUZET 246;-;-
OBOURG 71;-;-
OKEGEM 317;84;72
OLEN 545;190;208
OOSTENDE 6.652;5.070;6.126
OOSTKAMP 175;74;67
OPWIJK 1.100;248;252
OTTIGNIES 21.977;8.530;8.941
OUD-HEVERLEE 180;98;142
OUDEGEM 296;-;-
OUDENAARDE 3.342;1.130;847
OUGREE 166;38;36
OVERPELT 256;130;174
PALISEUL 89;29;55
PAPIGNIES 129;113;74
PECROT 256;128;120
PEPINSTER 1.113;358;282
PEPINSTER-CITE 36;20;21
PERUWELZ 683;276;227
PHILIPPEVILLE 272;46;61
PIETON 138;42;51
POIX-SAINT-HUBERT 33;26;25
PONT-A-CELLES 99;32;24
PONT-DE-SERAING 348;38;28
POPERINGE 768;503;615
POULSEUR 283;82;129
PROFONDSART 248;109;68
PRY 30;-;-
PUURS 1.489;845;746
QUAREGNON 400;209;190
QUEVY 234;135;134
QUIEVRAIN 418;243;238
REBAIX 127;55;47
REMICOURT 171;55;50
RHISNES 279;101;66
RIVAGE 374;92;136
RIXENSART 1.742;451;355
ROCHEFORT-JEMELLE 729;419;595
ROESELARE 2.846;1.084;1.091
RONET 140;63;73
RONSE/RENAIX 1.210;545;397
ROUX 153;26;52
RUISBR.-SAUVEGARDE 280;90;70
RUISBROEK 1.019;482;300
SART-BERNARD 216;42;32
SCHAARBEEK/SCHAERBEEK 3.292;1.781;1.117
SCHELDEWINDEKE 355;94;73
SCHELLE 312;129;118
SCHELLEBELLE 565;145;130
SCHENDELBEKE 306;75;70
SCHOONAARDE 351;106;128
SCHULEN 247;103;122
SCLAIGNEAUX 152;8;12
SERAING 518;77;56
SERSKAMP 242;91;76
SILLY 939;254;270
SIMONIS 230;120;95
SINAAI 306;105;123
SLEIDINGE 284;61;50
SOIGNIES 2.482;820;667
SOLRE-SUR-SAMBRE 78;18;14
SPA 321;199;272
SPA-GERONSTERE 267;187;155
ST-DENIJS-BOEKEL 136;-;-
ST-DENIS-BOVESSE 212;62;44
ST-GEN-RODE/RHODE-ST-GEN 1.695;428;260
ST-GHISLAIN 1.895;619;532
ST-GILLIS 218;55;44
ST-JOB 664;129;114
ST-JORIS-WEERT 436;218;224
ST-KATELIJNE-WAVER 767;395;312
ST-MARIABURG 200;82;63
