Station Gare;Gem. instappende tijdens week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche
TILLY;176;34;35
TOLLEMBEEK;179;34;37
TONGEREN;526;214;278
TORHOUT;1.202;379;452
TOUR ET TAXIS/THURN EN TAXIS;70;29;29
TOURNAI;4.243;1.365;1.254
TROIS-PONTS;146;79;124
TROOZ;67;49;26
TUBIZE;2.149;1.063;664
TURNHOUT;1.010;535;902
UCCLE/UKKEL-CALEVOET;593;264;130
UCCLE/UKKEL-STALLE;151;110;73
VELTEM;190;210;38
VERTRIJK;247;134;105
VERVIERS-CENTRAL;3.623;2.096;1.990
VERVIERS-PALAIS;73;11;32
VEURNE;353;181;356
VIANE-MOERBEKE;268;59;60
VICHTE;158;-;-
VIELSALM;232;81;126
VIJFHUIZEN;27;-;-
VILLE-POMMEROEUL;12;-;-
VILLERS-LA-VILLE;185;37;38
VILVOORDE;3.315;1.947;1.263
VIRTON;257;52;113
VISE;486;390;320
VIVIER D'OIE/DIESDELLE;559;114;91
Page 9 of 10
VIVILLE;14;7;5
VOROUX;63;-;-
WAARSCHOOT;135;69;30
WALCOURT;232;61;63
WAREGEM;1.917;425;464
WAREMME;1.296;238;127
WATERLOO;1.499;640;387
WATERMAEL/WATERMAAL;157;142;114
WAVRE;719;368;296
WEERDE;303;81;58
WELKENRAEDT;1.062;744;649
WELLE;97;-;-
WERVIK;581;185;177
WESPELAAR-TILDONK;295;49;45
WETTEREN;1.560;651;637
WEVELGEM;351;173;138
WEZEMAAL;455;192;110
WICHELEN;108;-;-
WIJGMAAL;306;47;46
WILDERT;165;87;61
WILLEBROEK;372;181;207
WOLFSTEE;18;-;-
WONDELGEM;130;49;24
YVES-GOMEZEE;44;6;11
YVOIR;401;200;181
ZANDBERGEN;144;39;34
ZAVENTEM;984;399;295
ZEDELGEM;341;128;248
ZEEBRUGGE-DORP;181;-;-
ZEEBRUGGE-STRAND;-;177;159
ZELE;604;155;113
ZELLIK;296;95;74
ZICHEM;163;81;99
ZINGEM;344;79;65
ZOLDER;66;23;18
ZONHOVEN;41;18;19
ZOTTEGEM;2.774;580;525
ZWIJNDRECHT;183;196;28
Page 10 of 10
