Station Gare;Gem. instappende tijdens het week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche
MOL;1.785;1.759;1.571
MOLLEM;222;11;29
MOMALLE;109;16;5
MONS;9.956;1.521;1.653
MONT-SAINT-GUIBERT;528;108;94
MOORTSELE;174;46;33
MORLANWELZ;373;43;38
MORTSEL;551;50;47
MORTSEL-DEURNESTEENWEG;17;22
MORTSEL-LIERSESTEENWEG;194;0
MORTSEL-OUDE-GOD;503;176;130
MOUSCRON/MOESKROEN;2.284;797;762
MOUSTIER;249;47;37
MUIZEN;211;50;45
MUNKZWALM;347;89;95
NAMECHE;142;22;33
NAMUR;18.833;7.738;7.332
NANINNE;151;30;31
NATOYE;165;57;35
NEERPELT;679;145;435
NEERWINDEN;181;30;18
NESSONVAUX;337;74;34
NEUFCHATEAU;227;39;33
NEUFVILLES;115
NIEL;164
NIEUWKERKEN-WAAS;135;25;39
NIJLEN;674;211;166
NIMY;112;13;10
NINOVE;1.531;331;210
NIVELLES;4.428;1.156;943
NOORDERKEMPEN;810;304;516
NOSSEGEM;323;133;75
OBAIX-BUZET;126;0;0
OBOURG;62
OKEGEM;211;48;32
OLEN;513;158;172
OOSTENDE;7.065;5.118;5.922
OOSTKAMP;235;87;64
OPWIJK;1.167;430;261
OTTIGNIES;21.979;7.532;6.302
OUD-HEVERLEE;129;35;28
OUDEGEM;169
OUDENAARDE;3.703;819;817
OVERPELT;240;53;91
PALISEUL;76;34;100
PAPIGNIES;141;17;11
PECROT;180;54;34
PEPINSTER;1.058;271;276
PEPINSTER-CITE;74;18;16
PERUWELZ;649;214;189
PHILIPPEVILLE;478;63;106
PIETON;169;29;22
POIX-SAINT-HUBERT;73;6;15
PONT-A-CELLES;186;6;15
PONT-DE-SERAING;250;19;23
POPERINGE;495;240;427
POULSEUR;184;78;82
PROFONDSART;116;39;30
PRY;28
PUURS;1.439;559;753
QUAREGNON;644;257;180
QUEVY;194
QUIEVRAIN;518;150;146
REBAIX;117;15;8
REMICOURT;175;16;15
RHISNES;219;39;23
RIVAGE;231;54;76
RIXENSART;1.396;303;219
ROESELARE;3.449;1.345;1.701
RONET;44;5;7
RONSE/RENAIX;1.277;321;395
ROUX;202;16;11
RUISBR.-SAUVEGARDE;144
RUISBROEK;423;124;85
SART-BERNARD;95;27;30
SCHAARBEEK/SCHAERBEEK;2.853;567;323
SCHELDEWINDEKE;440;113;64
SCHELLE;173
SCHELLEBELLE;349;89;54
SCHENDELBEKE;199;51;33
SCHOONAARDE;241;113;140
SCHULEN;297;68;203
SCLAIGNEAUX;95;25;21
SCLESSIN;47
SERSKAMP;101;24;21
SILLY;1.094;238;138
SIMONIS;72
SINAAI;275;49;56
SLEIDINGE;248;36;38
SOIGNIES;3.056;814;746
SOLRE-SUR-SAMBRE;107;33;30
SPA;358;166;171
SPA-GERONSTERE;342;154;141
ST-DENIJS-BOEKEL;296
ST-DENIS-BOVESSE;184;33;24
ST-GEN-RODE/RHODE-ST-GEN;1.167;273;251
ST-GHISLAIN;2.378;822;839
ST-GILLIS;135;7;16
ST-JOB;911
ST-JORIS-WEERT;239;94;74
ST-KATELIJNE-WAVER;893;162;114
ST-MARIABURG;114;57;35
ST-MARTENS-BODEGEM;374;46;40
ST-NIKLAAS;6.890;5.297;4.410
ST-TRUIDEN;2.133;887;949
STATTE;583;157;186
STOCKEM;33;0;9
SY;84;16;21
TAMINES;1.780;439;426
TEMSE;603;194;211
TERHAGEN;105
TERNAT;1.150;225;216
TESTELT;339;48;46
THEUX;160;67;54
THIEU;83;11;29
THUIN;289;57;75
THULIN;179;42;47
TIELEN;691;169;279
TIELT;1.038;419;466
TIENEN;4.978;1.364;1.209
TILFF;168;33;41
TILLY;205;57;44
TOLLEMBEEK;333;15;24
TONGEREN;942;377;386
TORHOUT;2.297;702;724
TOURNAI;4.785;1.427;1.932
TROIS-PONTS;184;108;205
TROOZ;157;25;16
TUBIZE;2.754;979;695
TURNHOUT;1.574;657;782
UCCLE/UKKEL-CALEVOET;713;130;123
UCCLE/UKKEL-STALLE;251;61;46
VELTEM;331;89;61
VERTRIJK;360;60;60
VERVIERS-CENTRAL;4.109;1.953;1.875
VERVIERS-PALAIS;182;33;26
VEURNE;286;277;482
VIANE-MOERBEKE;463;36;14
VICHTE;230
VIELSALM;284;124;213
VIJFHUIZEN;44
VILLE-POMMEROEUL;38
VILLERS-LA-VILLE;247;75;46
VILVOORDE;5.809;1.453;1.065
VIRTON;468;101;196
VISE;794;260;340
VIVIER D'OIE/DIESDELLE;390
VIVILLE;42;2;1
VOROUX;56
WAARSCHOOT;227;42;35
WALCOURT;432;75;88
WAREGEM;2.650;1.121;1.161
WAREMME;2.523;474;420
WATERLOO;1.902;398;439
WATERMAEL/WATERMAAL;146;62;60
WAVRE;1.149;494;249
WEERDE;463;65;46
WELKENRAEDT;1.478;773;681
WELLE;94
WERVIK;641;231;248
WESPELAAR-TILDONK;432;118;89
WETTEREN;2.396;797;787
WEVELGEM;424;148;179
WEZEMAAL;641;228;115
WICHELEN;173
WIJGMAAL;418;108;78
WILDERT;186;118;91
WILLEBROEK;516;186;168
WOLFSTEE;64
WONDELGEM;180;29;17
YVES-GOMEZEE;72;10;23
